source_token,region,buyer_codes,languages,doc_type,language_count
AFRICA MENA_L05,AFRICA,AFRICA;MENA,ENG;FRA;SPA;POR;ARA,BOOK,5
AFRICA_L05,AFRICA,AFRICA,ENG;FRA;SPA;POR;ARA,BOOK,5
ASIA_ENG,ASIA,ASIA,ENG,A3,1
CE_L05,CE,CE,RUS;ENG;KAZ;MON;KYR,BOOK,5
KR_KOR,KR,KR,KOR,A3,1
LATIN_L02,LATIN,LATIN,ENG;M-SPA,A2,2
MENA_L02,MENA,MENA,ENG;ARA,A2,2
PY_ENRU,RU,PY,RUS;ENG,A2,2
SQ MI_HEAR,SQ,SQ;MI,HEB;ARA,A2,2
TK_ARA,TK,TK,ARA,A3,1
TK_L02,TK,TK,ENG;TUR,A2,2
UA_ENG,UA,UA,ENG,A3,1
XC_L12,XC,XC,ENG;FRA;SPA;POR;DEU;SWE;DAN;NOR;FIN;CAT;GLG;EUS,BOOK,12
XD_INS,XD,XD,INS,A3,1
XH_L16,XH,XH,ENG;HUN;POL;GRE;BUL;CRO;CZE;SLK;ROM;SER;ALB;MKD;SLV;LAT;LTU;EST,BOOK,16
XL_ENG,INDIA,XL,ENG,A3,1
XT_L02,XT,XT,ENG;THA,A2,2
XU_ENG,XU,XU,ENG,A3,1
XY_ENG,XY,XY,ENG,A3,1
ZA_ENG,ZA,ZA,ENG,A3,1
ZC_L02,ZC,ZC,ENG;C-FRA,A2,2
ZG XN ZT_L05,ZG,ZG;XN;ZT,ENG;DEU;FRA;ITA;DUT,BOOK,5
ZW_TPE,ZW,ZW,TPE,A3,1
ZX_L02,ZX,ZX,ENG;M-SPA,A2,2
